"Year","Year_num","Location","Parameter","Time","Group","Manip1","Manip2","Metric","Value"
1992-01-01,1992,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.483
1993-01-01,1993,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.466
1994-01-01,1994,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.453
1995-01-01,1995,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.437
1996-01-01,1996,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.439
1997-01-01,1997,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.425
1998-01-01,1998,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.427
1999-01-01,1999,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.412
2000-01-01,2000,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.415
2001-01-01,2001,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.402
2002-01-01,2002,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.376
2003-01-01,2003,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.392
2004-01-01,2004,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.379
2005-01-01,2005,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.404
2006-01-01,2006,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.371
2007-01-01,2007,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.368
2008-01-01,2008,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.345
2009-01-01,2009,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.326
2010-01-01,2010,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.325
2011-01-01,2011,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.351
2012-01-01,2012,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.349
2013-01-01,2013,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.303
2014-01-01,2014,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.298
2015-01-01,2015,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.284
2016-01-01,2016,"Greece","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.27
1965-01-01,1965,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.182
1966-01-01,1966,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.184
1967-01-01,1967,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.207
1968-01-01,1968,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.199
1969-01-01,1969,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.222
1970-01-01,1970,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.219
1971-01-01,1971,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.224
1972-01-01,1972,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.208
1973-01-01,1973,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.188
1974-01-01,1974,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.22
1975-01-01,1975,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.225
1976-01-01,1976,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.22
1977-01-01,1977,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.226
1978-01-01,1978,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.229
1979-01-01,1979,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.209
1980-01-01,1980,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.206
1981-01-01,1981,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.221
1982-01-01,1982,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.227
1983-01-01,1983,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.229
1984-01-01,1984,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.224
1985-01-01,1985,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.238
1986-01-01,1986,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.239
1987-01-01,1987,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.226
1988-01-01,1988,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.227
1989-01-01,1989,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.214
1990-01-01,1990,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.177
1991-01-01,1991,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.167
1992-01-01,1992,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.19
1993-01-01,1993,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.184
1994-01-01,1994,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.149
1995-01-01,1995,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.149
1996-01-01,1996,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.137
1997-01-01,1997,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.135
1998-01-01,1998,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.171
1999-01-01,1999,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.185
2000-01-01,2000,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.16
2001-01-01,2001,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.141
2002-01-01,2002,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.137
2003-01-01,2003,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.146
2004-01-01,2004,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.122
2005-01-01,2005,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.131
2006-01-01,2006,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.125
2007-01-01,2007,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.122
2008-01-01,2008,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.139
2009-01-01,2009,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.142
2010-01-01,2010,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.129
2011-01-01,2011,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.139
2012-01-01,2012,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.136
2013-01-01,2013,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.117
2014-01-01,2014,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.14
2015-01-01,2015,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.127
2016-01-01,2016,"Hong Kong","CO2",1965,"0 0 0 4 0","Absolute","GDP","CO2_per_GDP",0.128
1965-01-01,1965,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",1.038
1966-01-01,1966,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.977
1967-01-01,1967,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.87
1968-01-01,1968,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.882
1969-01-01,1969,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.864
1970-01-01,1970,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.961
1971-01-01,1971,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.9
1972-01-01,1972,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.912
1973-01-01,1973,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.937
1974-01-01,1974,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.933
1975-01-01,1975,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.939
1976-01-01,1976,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.94
1977-01-01,1977,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.878
1978-01-01,1978,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.847
1979-01-01,1979,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.783
1980-01-01,1980,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.717
1981-01-01,1981,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.721
1982-01-01,1982,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.711
1983-01-01,1983,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.748
1984-01-01,1984,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.762
1985-01-01,1985,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.741
1986-01-01,1986,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.682
1987-01-01,1987,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.662
1988-01-01,1988,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.6
1989-01-01,1989,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.58
1990-01-01,1990,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.588
1991-01-01,1991,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.612
1992-01-01,1992,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.543
1993-01-01,1993,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.522
1994-01-01,1994,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.48
1995-01-01,1995,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.467
1996-01-01,1996,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.49
1997-01-01,1997,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.468
1998-01-01,1998,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.445
1999-01-01,1999,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.436
2000-01-01,2000,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.388
2001-01-01,2001,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.372
2002-01-01,2002,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.344
2003-01-01,2003,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.358
2004-01-01,2004,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.352
2005-01-01,2005,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.34
2006-01-01,2006,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.326
2007-01-01,2007,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.312
2008-01-01,2008,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.295
2009-01-01,2009,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.261
2010-01-01,2010,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.256
2011-01-01,2011,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.242
2012-01-01,2012,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.225
2013-01-01,2013,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.202
2014-01-01,2014,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.195
2015-01-01,2015,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.201
2016-01-01,2016,"Hungary","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.201
1965-01-01,1965,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.46
1966-01-01,1966,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.456
1967-01-01,1967,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.453
1968-01-01,1968,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.543
1969-01-01,1969,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.408
1970-01-01,1970,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.417
1971-01-01,1971,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.367
1972-01-01,1972,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.373
1973-01-01,1973,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.396
1974-01-01,1974,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.374
1975-01-01,1975,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.343
1976-01-01,1976,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.36
1977-01-01,1977,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.358
1978-01-01,1978,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.348
1979-01-01,1979,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.345
1980-01-01,1980,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.309
1981-01-01,1981,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.279
1982-01-01,1982,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.243
1983-01-01,1983,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.259
1984-01-01,1984,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.277
1985-01-01,1985,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.248
1986-01-01,1986,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.249
1987-01-01,1987,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.233
1988-01-01,1988,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.226
1989-01-01,1989,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.244
1990-01-01,1990,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.296
1991-01-01,1991,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.273
1992-01-01,1992,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.307
1993-01-01,1993,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.325
1994-01-01,1994,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.305
1995-01-01,1995,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.321
1996-01-01,1996,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.321
1997-01-01,1997,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.298
1998-01-01,1998,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.282
1999-01-01,1999,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.285
2000-01-01,2000,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.294
2001-01-01,2001,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.276
2002-01-01,2002,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.285
2003-01-01,2003,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.295
2004-01-01,2004,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.289
2005-01-01,2005,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.275
2006-01-01,2006,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.301
2007-01-01,2007,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.311
2008-01-01,2008,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.302
2009-01-01,2009,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.301
2010-01-01,2010,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.315
2011-01-01,2011,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.3
2012-01-01,2012,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.289
2013-01-01,2013,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.279
2014-01-01,2014,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.269
2015-01-01,2015,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.264
2016-01-01,2016,"Iceland","CO2",1965,"0 2 0 0 0","Absolute","GDP","CO2_per_GDP",0.243
1965-01-01,1965,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.249
1966-01-01,1966,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.262
1967-01-01,1967,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.248
1968-01-01,1968,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.273
1969-01-01,1969,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.271
1970-01-01,1970,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.272
1971-01-01,1971,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.281
1972-01-01,1972,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.29
1973-01-01,1973,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.277
1974-01-01,1974,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.288
1975-01-01,1975,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.284
1976-01-01,1976,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.303
1977-01-01,1977,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.319
1978-01-01,1978,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.329
1979-01-01,1979,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.368
1980-01-01,1980,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.376
1981-01-01,1981,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.411
1982-01-01,1982,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.431
1983-01-01,1983,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.46
1984-01-01,1984,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.473
1985-01-01,1985,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.516
1986-01-01,1986,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.525
1987-01-01,1987,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.529
1988-01-01,1988,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.524
1989-01-01,1989,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.536
1990-01-01,1990,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.536
1991-01-01,1991,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.555
1992-01-01,1992,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.556
1993-01-01,1993,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.534
1994-01-01,1994,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.535
1995-01-01,1995,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.529
1996-01-01,1996,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.526
1997-01-01,1997,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.515
1998-01-01,1998,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.488
1999-01-01,1999,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.496
2000-01-01,2000,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.484
2001-01-01,2001,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.464
2002-01-01,2002,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.451
2003-01-01,2003,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.425
2004-01-01,2004,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.418
2005-01-01,2005,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.389
2006-01-01,2006,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.372
2007-01-01,2007,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.362
2008-01-01,2008,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.341
2009-01-01,2009,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.354
2010-01-01,2010,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.328
2011-01-01,2011,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.311
2012-01-01,2012,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.324
2013-01-01,2013,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.33
2014-01-01,2014,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.332
2015-01-01,2015,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.319
2016-01-01,2016,"India","CO2",1965,"0 0 3 0 5","Absolute","GDP","CO2_per_GDP",0.316
1965-01-01,1965,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.17
1966-01-01,1966,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.2
1967-01-01,1967,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.201
1968-01-01,1968,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.212
1969-01-01,1969,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.233
1970-01-01,1970,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.225
1971-01-01,1971,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.231
1972-01-01,1972,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.222
1973-01-01,1973,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.213
1974-01-01,1974,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.197
1975-01-01,1975,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.208
1976-01-01,1976,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.219
1977-01-01,1977,"Indonesia","CO2",1965,"0 0 3 0 0","Absolute","GDP","CO2_per_GDP",0.272
